2020,7,19,0.0,17.7,-0.8,8.6,16.4,38.1,9.1
2020,7,20,0.0,17.8,-1.9,8.7,18.3,31.3,4.2
2020,7,21,0.0,18.3,-3.4,8.0,19.6,45.0,7.6
2020,7,22,0.0,16.4,-4.3,7.1,23.7,56.1,9.8
2020,7,23,0.0,15.2,-2.9,6.1,14.8,27.2,7.6
2020,7,24,0.0,12.9,-5.9,4.0,12.7,25.4,3.7
2020,7,25,0.0,12.0,-6.9,2.7,13.0,25.2,5.1
2020,7,26,0.0,13.3,-6.0,4.0,15.5,28.0,7.4
2020,7,27,0.0,13.6,-6.0,4.4,8.5,14.3,4.0
2020,7,28,0.0,14.6,-8.4,3.9,10.6,20.6,4.3
2020,7,29,0.0,15.9,-5.7,5.0,25.4,74.6,7.9
2020,7,30,0.0,16.3,-4.5,6.2,13.5,35.7,3.3
2020,7,31,0.0,16.9,-2.8,7.9,14.3,22.9,9.2
2020,8,1,0.0,19.0,-2.2,8.5,24.0,43.1,8.4
2020,8,2,0.0,19.0,-0.2,9.6,15.9,30.6,7.6
2020,8,3,0.0,18.4,-1.7,9.5,20.2,42.4,8.1
2020,8,4,0.0,18.3,1.0,8.9,19.5,37.4,7.7
2020,8,5,0.0,17.6,-2.7,7.7,8.5,15.8,3.9
2020,8,6,0.0,18.2,-2.8,8.2,16.4,31.7,5.5
2020,8,7,0.0,17.7,0.9,8.6,24.5,46.9,6.1
2020,8,8,0.0,16.9,-2.7,8.0,14.8,31.1,5.7
2020,8,9,0.0,17.0,-3.3,7.5,9.0,22.8,4.5
2020,8,10,0.0,16.7,-3.9,7.3,8.9,26.2,5.6
2020,8,11,0.0,13.6,-0.5,6.7,14.3,24.7,7.5
2020,8,12,0.0,13.2,-6.3,4.6,15.0,32.8,7.1
2020,8,13,0.0,13.9,-5.3,3.8,16.6,26.0,6.1
2020,8,14,0.0,13.5,-5.9,3.7,16.3,29.9,6.0
2020,8,15,0.0,14.5,-7.1,3.6,16.0,28.8,4.5
2020,8,16,0.0,15.0,-5.7,4.7,20.2,31.2,9.3
2020,8,17,0.0,14.5,-2.8,6.0,29.5,46.8,17.7
2020,8,18,0.0,13.0,-0.1,5.8,37.7,59.1,14.6
2020,8,19,0.0,14.1,-5.8,3.8,39.0,68.2,10.9
2020,8,20,0.0,16.6,-3.1,5.4,34.7,62.4,7.7
2020,8,21,0.0,16.6,-4.1,5.9,24.2,48.9,5.8
2020,8,22,0.0,15.1,-3.9,5.7,24.1,44.0,7.7
2020,8,23,0.0,15.8,-4.0,6.2,30.1,47.7,18.0
2020,8,24,0.0,17.1,-0.5,8.7,31.8,54.6,15.0
2020,8,25,0.0,15.7,-1.3,6.9,48.6,78.6,26.2
2020,8,26,0.0,17.2,-1.9,8.1,39.1,69.9,21.6
2020,8,27,0.0,18.9,0.1,9.0,29.3,45.9,12.8
2020,8,28,0.0,18.8,0.2,9.9,17.6,30.6,9.9
2020,8,29,0.0,18.9,0.8,10.2,12.2,16.3,8.5
2020,8,30,0.0,18.5,1.8,10.4,24.8,54.3,12.1
2020,8,31,0.0,16.1,3.6,9.4,44.4,66.0,20.6
2020,9,1,0.0,18.1,3.8,9.7,50.1,79.8,24.1
2020,9,2,0.0,16.5,1.3,8.7,15.5,32.2,2.7
2020,9,3,0.0,16.4,-6.7,5.9,8.0,14.9,3.4
2020,9,4,0.0,18.6,-2.1,8.5,8.0,12.4,4.4
2020,9,5,0.0,18.8,0.7,10.2,8.2,10.8,5.8
2020,9,6,0.0,19.3,2.5,11.7,9.0,22.0,4.8
2020,9,7,0.0,17.7,2.0,10.9,20.5,64.5,6.3
2020,9,8,0.0,18.5,1.6,10.5,24.6,51.9,10.0
2020,9,9,0.0,18.5,3.0,10.4,21.9,61.4,7.1
2020,9,10,0.0,17.6,5.2,10.3,46.1,67.0,18.5
2020,9,11,0.0,18.5,0.2,10.3,38.2,80.1,11.0
2020,9,12,0.0,18.2,2.1,10.4,26.0,55.8,14.0
2020,9,13,1.6,17.1,3.0,9.5,54.9,86.6,26.3
2020,9,14,21.6,15.5,3.1,8.1,71.6,92.7,35.2
2020,9,15,7.0,9.3,0.7,4.4,90.2,100.0,58.3
2020,9,16,0.0,14.2,0.7,7.2,47.3,91.1,22.9
2020,9,17,0.0,14.1,0.1,7.4,32.4,53.1,14.7
2020,9,18,0.2,13.3,4.0,8.1,46.5,79.0,19.7
2020,9,19,0.0,15.7,-0.3,8.2,49.8,92.1,15.3
2020,9,20,0.0,18.8,1.9,9.3,28.2,70.6,9.4
2020,9,21,0.0,16.4,-1.7,7.5,32.3,64.6,10.4
2020,9,22,0.0,14.8,-3.0,6.7,22.6,45.6,6.1
2020,9,23,0.0,18.2,-0.9,9.5,19.0,42.7,6.6
2020,9,24,0.0,19.0,-1.4,9.8,22.3,54.3,4.8
2020,9,25,0.0,19.1,-1.3,10.4,33.3,73.7,5.7
2020,9,26,0.0,19.0,3.3,11.2,15.7,28.5,7.1
2020,9,27,0.0,17.9,0.0,9.6,25.3,59.0,12.7
2020,9,28,0.0,17.4,3.7,10.1,53.6,83.0,23.6
2020,9,29,4.8,17.1,3.1,9.4,60.2,92.7,25.2
2020,9,30,0.8,17.2,2.5,9.5,52.6,81.8,22.0
2020,10,1,0.0,17.2,1.2,10.6,38.3,83.1,20.9
2020,10,2,0.0,18.5,3.9,10.5,56.7,84.8,27.0
2020,10,3,0.0,19.1,5.0,11.9,47.8,79.5,20.8
2020,10,4,0.0,19.1,5.2,12.1,49.0,77.8,22.0
2020,10,5,0.0,19.9,5.0,12.1,43.7,73.8,11.3
2020,10,6,0.0,19.6,3.3,11.6,41.8,79.1,15.6
2020,10,7,0.0,19.1,3.1,11.4,48.1,76.4,22.9
2020,10,8,0.0,21.0,4.5,13.1,41.4,73.4,18.1
2020,10,9,0.0,21.5,4.0,14.1,29.3,54.5,12.9
2020,10,10,0.0,21.1,6.3,13.2,42.5,75.8,8.0
2020,10,11,0.0,20.7,3.0,11.5,46.2,78.5,10.6
2020,10,12,2.8,19.1,4.3,10.2,55.8,90.8,18.4
2020,10,13,0.0,15.9,3.2,8.4,71.9,97.0,30.8
2020,10,14,0.0,18.7,2.7,10.5,56.8,95.7,22.5
2020,10,15,3.0,17.0,3.8,9.5,66.7,95.8,29.4
2020,10,16,8.6,15.1,3.3,8.7,74.1,97.0,36.1
2020,10,17,0.0,17.8,2.3,9.3,64.1,98.2,20.8
2020,10,18,0.0,18.7,3.0,10.3,53.5,87.2,19.5
2020,10,19,0.0,19.3,2.7,12.1,38.8,79.2,13.5
2020,10,20,0.0,18.5,4.9,12.0,44.4,75.7,18.6
2020,10,21,19.2,17.7,6.1,10.8,57.5,94.6,25.9
2020,10,22,4.6,15.9,3.9,8.6,74.1,98.3,39.7
2020,10,23,0.0,18.6,2.5,11.0,47.5,93.3,15.4
2020,10,24,0.0,18.5,2.4,10.7,23.9,46.8,6.6
2020,10,25,0.0,20.4,1.8,12.0,22.2,42.7,12.3
2020,10,26,0.0,20.7,4.4,13.2,14.9,24.7,10.7
2020,10,27,0.0,19.3,3.2,11.0,12.2,25.1,4.0
2020,10,28,0.0,16.7,-2.6,7.9,12.3,27.1,3.8
2020,10,29,0.0,18.4,-1.2,8.6,13.2,23.8,6.1
2020,10,30,0.0,18.5,-1.4,9.5,11.3,25.3,4.3
2020,10,31,0.0,19.0,0.0,9.8,15.4,24.4,4.9
2020,11,1,0.0,18.9,1.9,10.5,13.8,29.4,3.5
2020,11,2,0.0,18.2,-0.5,9.7,12.2,29.9,3.2
2020,11,3,0.0,18.9,-1.1,10.0,19.2,54.1,4.7
2020,11,4,0.0,20.0,2.7,11.6,40.5,74.4,9.3
2020,11,5,0.0,20.0,4.5,12.1,42.4,69.4,17.1
2020,11,6,0.4,19.7,5.1,11.9,48.2,73.7,17.0
2020,11,7,0.0,19.9,4.4,12.3,38.8,77.3,9.7
2020,11,8,0.0,19.8,5.4,12.3,34.5,65.3,12.6
2020,11,9,0.0,19.8,3.8,12.2,19.5,39.1,10.0
2020,11,10,0.0,18.4,1.2,10.5,14.6,26.6,4.5
2020,11,11,0.0,19.1,1.3,10.6,11.7,22.4,6.5
2020,11,12,0.0,18.4,-0.6,10.1,10.4,22.5,3.2
2020,11,13,0.0,18.0,-2.1,9.3,11.1,24.6,3.1
2020,11,14,0.0,20.0,-0.4,10.4,10.0,23.6,2.8
2020,11,15,0.0,21.2,2.0,11.5,7.6,13.9,3.9
2020,11,16,0.0,20.6,0.4,11.5,6.9,12.1,3.3
2020,11,17,0.0,20.6,0.2,10.2,8.7,14.9,3.0
2020,11,18,0.0,19.5,-2.8,9.2,8.3,16.7,3.1
2020,11,19,0.0,19.1,-2.0,9.3,9.0,14.7,3.2
2020,11,20,0.0,18.4,-2.0,9.4,8.7,20.0,3.3
2020,11,21,0.0,19.9,0.0,10.7,7.1,20.5,3.9
2020,11,22,0.0,20.8,1.8,12.8,26.7,52.5,5.5
2020,11,23,1.0,21.7,4.8,12.4,48.0,77.1,14.6
2020,11,24,0.0,21.8,5.5,13.9,43.0,75.2,15.4
2020,11,25,0.0,22.9,6.2,14.9,33.0,55.9,8.2
2020,11,26,3.4,21.5,5.9,12.5,44.6,66.8,12.4
2020,11,27,0.4,20.5,4.1,12.1,51.9,78.1,21.5
2020,11,28,0.0,21.9,2.5,12.9,47.0,89.8,16.4
2020,11,29,0.0,21.8,5.8,14.3,43.4,84.8,13.5
2020,11,30,0.0,22.9,7.7,14.0,46.7,73.2,12.9
2020,12,1,0.8,19.0,5.3,10.0,68.8,91.6,29.7
2020,12,2,0.0,21.0,4.7,14.9,35.8,93.3,8.6
2020,12,3,0.0,22.0,4.2,13.5,26.4,56.5,9.6
2020,12,4,4.4,20.5,5.1,11.6,53.0,82.7,25.6
2020,12,5,0.4,18.8,6.0,12.0,61.9,88.9,27.3
2020,12,6,0.0,20.8,4.5,12.5,58.3,91.2,17.9
2020,12,7,0.0,19.9,5.9,12.8,41.4,86.9,4.3
2020,12,8,0.0,20.5,1.9,11.7,10.6,22.9,3.3
2020,12,9,0.0,20.6,2.9,12.7,23.5,64.6,7.3
2020,12,10,0.0,17.9,5.4,11.8,47.3,73.3,24.4
2020,12,11,0.0,22.2,3.5,13.6,31.7,59.8,8.8
2020,12,12,0.0,22.5,3.6,13.7,36.2,74.1,11.1
2020,12,13,0.0,21.6,2.5,13.3,19.4,42.0,5.9
2020,12,14,0.0,20.4,6.2,13.4,11.1,21.1,3.8
2020,12,15,0.0,19.3,0.8,11.1,12.3,29.5,3.0
2020,12,16,0.0,21.1,2.8,12.6,18.9,48.9,4.6
2020,12,17,0.0,21.4,6.0,13.6,43.1,74.7,13.0
2020,12,18,0.0,22.1,3.9,13.1,40.3,76.9,15.3
2020,12,19,0.0,22.1,3.6,13.8,18.2,38.8,8.6
2020,12,20,0.4,18.9,5.0,12.1,39.0,69.4,14.8
2020,12,21,0.0,20.5,5.0,12.0,59.5,88.1,23.5
2020,12,22,0.0,20.6,6.2,13.3,48.3,86.1,21.4
2020,12,23,14.2,20.7,6.7,12.8,57.8,93.9,24.4
2020,12,24,2.0,17.1,6.4,10.7,74.0,97.4,39.1
2020,12,25,0.4,14.8,7.1,9.8,79.5,97.6,53.9
2020,12,26,18.2,13.8,4.5,9.3,77.6,93.4,54.0
2020,12,27,1.0,17.6,6.6,11.2,72.3,96.5,41.7
2020,12,28,0.0,17.6,7.2,12.0,59.4,84.6,35.5
2020,12,29,35.8,16.7,6.3,11.0,71.1,98.3,42.2
2020,12,30,15.4,14.5,6.4,9.0,85.7,98.8,61.1
2020,12,31,0.0,18.9,5.4,11.4,63.8,92.2,28.0
2021,1,1,0.0,20.2,5.4,12.7,56.7,89.5,23.5
2021,1,2,0.2,20.8,7.0,13.1,54.8,86.1,20.1
2021,1,3,0.0,20.7,5.9,13.1,53.4,90.4,17.7
2021,1,4,0.0,19.7,6.4,12.8,42.8,83.1,9.5
2021,1,5,3.8,18.2,2.5,11.0,30.0,55.8,12.9
2021,1,6,2.2,16.8,5.2,9.9,66.2,91.5,37.3
2021,1,7,14.4,12.8,6.8,8.1,87.7,97.0,64.2
2021,1,8,0.0,17.3,5.6,9.9,73.1,96.0,25.2
2021,1,9,0.6,18.2,1.9,10.9,46.4,73.3,26.1
2021,1,10,10.0,20.0,6.7,11.6,65.8,93.6,26.7
2021,1,11,0.0,19.6,5.0,12.1,61.8,94.8,26.0
2021,1,12,25.2,18.5,6.3,12.5,60.9,97.5,35.2
2021,1,13,7.2,16.3,6.3,10.1,80.0,97.7,49.3
2021,1,14,32.0,16.4,6.7,10.3,81.8,98.4,53.7
2021,1,15,7.4,17.9,8.0,11.9,74.2,94.6,50.2
2021,1,16,5.8,18.2,7.0,11.8,69.5,92.7,41.1
2021,1,17,0.2,16.0,5.9,10.9,64.6,84.8,43.9
2021,1,18,0.0,16.5,7.2,11.1,74.0,92.1,48.7
2021,1,19,17.0,17.2,5.9,10.1,75.4,91.6,42.9
2021,1,20,0.2,17.2,5.5,10.4,73.0,94.5,41.4
2021,1,21,53.2,12.4,4.9,8.2,85.8,100.0,62.0
2021,1,22,0.6,13.8,4.8,8.2,85.1,100.0,57.7
2021,1,23,1.4,15.9,3.5,9.4,76.7,99.9,45.5
2021,1,24,19.0,14.5,5.7,8.9,83.0,97.2,55.0
2021,1,25,8.2,14.2,6.4,8.8,87.1,98.2,67.0
2021,1,26,0.0,15.1,3.5,8.9,58.8,84.0,26.6
2021,1,27,0.0,16.9,0.9,9.1,44.5,76.6,19.7
2021,1,28,0.0,16.2,0.9,9.3,34.6,66.6,11.9
2021,1,29,0.0,17.0,1.9,9.5,33.3,61.6,12.0
2021,1,30,0.0,19.0,-0.1,10.6,29.1,63.1,11.9
2021,1,31,0.0,20.7,3.2,12.7,31.4,64.5,14.7
2021,2,1,0.0,21.1,5.3,13.0,51.6,87.4,15.6
2021,2,2,28.2,18.9,6.5,10.7,63.9,83.8,34.3
2021,2,3,6.2,17.3,5.3,10.8,71.3,91.0,39.5
2021,2,4,0.0,16.9,6.6,11.3,71.0,92.5,45.2
2021,2,5,2.4,18.7,5.6,11.0,71.3,94.7,38.4
2021,2,6,0.4,20.5,6.8,13.1,61.1,91.5,21.0
2021,2,7,9.4,20.0,7.3,11.8,69.5,92.1,35.1
2021,2,8,21.0,18.6,5.7,11.4,69.1,94.2,38.7
2021,2,9,0.0,18.9,5.7,11.8,55.7,93.5,13.3
2021,2,10,0.0,17.8,2.6,10.9,32.6,68.5,8.9
2021,2,11,0.0,17.3,1.9,10.2,32.7,57.9,10.7
2021,2,12,0.0,17.9,1.1,10.3,30.5,60.2,10.0
2021,2,13,0.0,20.6,4.2,11.8,28.4,55.8,8.9
2021,2,14,0.0,19.7,2.9,11.9,33.2,57.3,9.6
2021,2,15,0.0,18.8,1.6,10.9,38.0,75.2,9.6
2021,2,16,0.0,18.4,2.1,10.7,30.5,65.2,9.5
2021,2,17,0.0,18.6,2.0,10.6,29.2,55.7,11.9
2021,2,18,0.0,17.9,4.1,10.9,42.1,79.3,24.8
2021,2,19,2.2,18.9,6.2,12.0,51.2,85.5,28.0
2021,2,20,18.2,17.0,6.1,9.9,78.0,97.7,44.0
2021,2,21,2.8,18.2,5.9,11.4,69.9,96.4,37.2
2021,2,22,0.0,19.2,5.5,12.4,56.9,94.8,20.1
2021,2,23,0.0,19.6,3.6,12.7,44.9,76.5,22.8
2021,2,24,0.0,17.6,4.6,11.8,53.9,81.1,31.7
2021,2,25,0.0,19.8,3.9,12.2,51.4,82.9,19.8
2021,2,26,0.2,18.2,7.1,12.4,55.8,79.3,32.0
2021,2,27,0.0,18.9,5.4,12.2,58.8,90.7,26.3
2021,2,28,2.2,18.7,7.0,11.0,64.4,86.5,34.2
2021,3,1,1.6,16.7,4.8,9.7,77.2,98.6,43.2
2021,3,2,0.2,18.6,4.4,10.0,72.2,96.4,34.4
2021,3,3,0.0,19.0,4.2,11.2,62.3,93.2,27.0
2021,3,4,2.2,19.0,5.6,12.1,63.4,92.6,35.7
2021,3,5,13.0,13.5,5.6,9.2,81.1,93.2,57.8
2021,3,6,0.0,17.4,5.1,9.7,70.9,95.7,29.0
2021,3,7,0.0,19.0,3.9,11.3,58.0,91.3,23.6
2021,3,8,0.0,18.2,5.2,10.5,54.1,77.7,24.0
2021,3,9,0.0,18.0,2.6,10.2,53.3,88.7,22.1
2021,3,10,0.0,17.3,1.5,10.1,48.5,81.8,19.3
2021,3,11,1.8,18.1,3.1,10.6,47.2,80.0,15.9
2021,3,12,38.2,16.7,3.4,9.6,60.6,95.5,25.3
2021,3,13,0.0,14.5,4.5,9.1,73.5,97.6,42.6
2021,3,14,6.2,15.2,5.1,10.4,66.4,91.8,38.8
2021,3,15,1.4,15.4,5.0,9.9,75.6,97.4,45.4
2021,3,16,0.0,17.0,4.5,10.9,60.1,95.7,30.3
2021,3,17,0.0,18.8,2.9,11.2,44.9,70.5,23.2
2021,3,18,0.0,16.9,5.4,11.0,62.4,87.9,34.6
2021,3,19,0.0,17.2,4.7,10.5,61.5,90.6,31.0
2021,3,20,0.0,16.7,6.0,10.6,53.9,65.4,37.9
2021,3,21,1.4,17.4,6.7,11.7,58.2,76.3,39.2
2021,3,22,1.4,15.2,6.2,9.7,74.0,94.6,46.0
2021,3,23,0.0,16.7,4.4,10.0,68.1,95.8,33.1
2021,3,24,21.6,16.8,5.0,9.6,71.2,92.4,38.7
2021,3,25,0.0,17.4,3.2,10.6,68.0,97.5,39.0
2021,3,26,1.0,18.7,4.7,11.3,61.2,89.6,29.0
2021,3,27,35.0,18.1,5.5,10.6,68.4,98.3,30.6
2021,3,28,0.6,15.8,5.0,9.5,77.0,95.4,45.8
2021,3,29,0.8,17.5,5.9,10.8,69.2,92.3,32.0
2021,3,30,0.0,17.8,3.3,10.4,62.3,91.1,27.8
2021,3,31,0.0,17.7,4.8,10.1,66.3,90.4,32.2
2021,4,1,0.0,16.8,2.8,9.4,50.9,94.3,7.7
2021,4,2,0.0,17.6,1.4,9.7,26.8,58.6,13.1
2021,4,3,0.0,16.6,5.3,10.2,59.2,82.4,26.9
2021,4,4,0.0,15.8,4.8,10.0,59.8,88.6,31.6
2021,4,5,0.0,15.0,5.0,10.1,49.6,84.0,28.8
2021,4,6,0.0,17.2,2.5,10.1,39.2,64.2,22.0
2021,4,7,0.0,18.2,1.1,10.5,32.4,66.6,14.0
2021,4,8,0.0,19.0,2.6,10.8,24.4,41.8,14.1
2021,4,9,0.0,18.2,-0.2,10.3,18.6,30.4,12.4
2021,4,10,0.0,18.0,4.3,11.2,50.3,86.6,17.8
2021,4,11,0.0,18.7,1.8,10.7,40.2,71.4,16.1
2021,4,12,0.2,17.1,5.2,10.2,68.0,93.2,37.4
2021,4,13,0.0,17.5,3.9,10.2,65.6,93.2,31.9
2021,4,14,0.0,18.0,5.3,11.6,54.6,84.1,21.1
2021,4,15,0.0,18.2,1.3,10.1,34.3,81.5,12.9
2021,4,16,0.0,18.3,1.2,10.0,21.3,42.8,6.8
2021,4,17,0.0,16.6,-1.6,8.5,18.7,36.4,9.8
2021,4,18,0.0,18.2,0.4,9.9,19.3,38.7,8.1
2021,4,19,0.0,17.1,0.2,8.5,17.8,33.6,6.9
2021,4,20,0.0,17.6,-0.8,8.9,27.1,60.9,8.5
2021,4,21,0.0,17.2,-0.2,9.0,21.1,56.5,7.0
2021,4,22,0.0,16.5,-0.6,8.3,14.7,22.9,8.2
2021,4,23,0.0,16.3,0.4,7.8,24.7,40.1,10.6
2021,4,24,0.0,16.0,-2.8,7.0,27.9,52.2,9.2
2021,4,25,0.0,14.5,-4.7,5.6,20.9,43.9,5.1
2021,4,26,0.0,14.2,-5.0,5.1,19.7,33.7,6.3
2021,4,27,0.0,14.4,-4.5,5.6,28.5,47.8,15.0
2021,4,28,0.0,12.7,-0.6,6.1,29.4,51.2,16.6
2021,4,29,0.0,14.6,-2.7,5.7,26.5,43.2,15.4
2021,4,30,0.0,15.4,-2.3,6.5,21.1,45.5,5.2
2021,5,1,0.0,15.0,-5.5,5.7,12.8,28.2,5.5
2021,5,2,0.0,16.0,-3.5,6.6,13.4,28.9,6.3
2021,5,3,0.0,16.9,-3.3,7.4,18.7,32.8,11.0
2021,5,4,0.0,18.6,-1.5,9.8,28.1,51.7,13.3
2021,5,5,0.0,18.0,-0.3,9.7,28.3,48.7,14.6
2021,5,6,0.0,16.8,0.8,9.1,15.6,31.7,8.2
2021,5,7,0.0,16.6,2.9,8.9,19.1,30.8,11.7
2021,5,8,0.0,16.7,0.9,9.4,30.7,64.6,18.1
2021,5,9,0.0,16.7,-0.4,9.0,52.0,92.9,22.3
2021,5,10,0.0,17.4,0.1,9.6,31.8,56.5,17.2
2021,5,11,0.0,17.2,1.2,9.7,31.9,67.2,20.1
2021,5,12,0.0,17.0,3.6,9.8,39.9,58.6,22.2
2021,5,13,0.0,16.0,2.7,9.2,44.2,75.5,21.9
2021,5,14,0.0,14.8,0.8,7.5,29.6,49.0,18.2
2021,5,15,0.0,14.2,-0.4,6.8,29.2,49.6,11.4
2021,5,16,0.0,14.5,-3.9,6.1,29.2,55.9,15.6
2021,5,17,0.0,15.3,-3.6,6.9,22.4,44.3,11.4
2021,5,18,0.0,15.3,0.6,7.5,45.1,85.6,14.0
2021,5,19,0.0,13.2,-3.2,5.2,22.3,43.2,8.4
2021,5,20,0.0,15.0,-4.1,5.0,23.6,37.6,10.1
2021,5,21,0.0,12.8,-5.4,4.5,23.7,50.1,8.4
2021,5,22,0.0,15.4,-6.1,4.8,18.3,39.7,5.8
2021,5,23,0.0,14.3,-5.1,5.1,12.0,19.5,6.5
2021,5,24,0.0,15.8,-1.3,6.8,11.9,20.3,6.3
2021,5,25,1.6,15.0,-3.2,6.3,15.6,42.0,7.6
2021,5,26,4.2,12.5,2.4,6.3,70.7,91.7,45.1
2021,5,27,0.0,13.9,1.5,7.1,72.3,94.6,33.7
2021,5,28,0.0,12.7,0.4,6.4,55.1,84.6,32.2
2021,5,29,0.0,13.0,-0.6,5.4,42.0,64.3,20.1
2021,5,30,0.0,13.4,-0.9,5.6,24.7,42.9,13.3
2021,5,31,0.0,12.3,-4.5,3.5,18.0,32.9,7.4
2021,6,1,0.0,13.0,-4.7,3.5,14.0,34.3,5.0
2021,6,2,0.0,14.7,-5.1,5.1,11.5,17.4,6.9
2021,6,3,0.0,15.8,-3.8,6.4,21.9,39.8,11.7
2021,6,4,0.0,15.6,-3.4,6.2,17.1,29.2,6.8
2021,6,5,0.0,15.3,-1.7,6.7,20.2,33.3,10.1
2021,6,6,0.0,13.2,-2.4,5.4,16.7,27.8,9.3
2021,6,7,0.0,12.9,-4.0,4.0,19.9,27.6,13.2
2021,6,8,0.0,12.9,-5.3,3.3,19.0,30.8,10.2
2021,6,9,0.0,12.4,-4.9,3.6,21.7,35.2,11.1
2021,6,10,0.0,10.5,-9.8,1.4,22.1,42.4,10.1
2021,6,11,0.0,11.0,-6.2,2.3,14.2,32.5,5.5
2021,6,12,0.0,10.9,-6.6,1.8,22.1,54.2,7.1
2021,6,13,0.0,11.7,-7.6,2.1,14.3,22.2,8.4
2021,6,14,0.0,11.2,-5.1,3.2,28.1,52.3,12.7
2021,6,15,0.0,13.4,-5.8,4.5,29.8,53.9,17.3
2021,6,16,0.0,12.6,-4.8,4.1,23.5,42.2,10.9
2021,6,17,0.0,14.3,-4.5,4.2,23.7,44.6,14.5
2021,6,18,0.0,14.8,-4.0,4.3,44.0,65.2,13.2
2021,6,19,0.0,13.2,-4.2,4.2,38.8,68.3,14.5
2021,6,20,0.0,16.0,-3.5,5.1,20.2,30.9,10.0
2021,6,21,0.0,13.9,-5.5,4.4,27.7,48.6,11.2
2021,6,22,0.0,15.5,-3.0,6.1,25.6,38.1,16.4
2021,6,23,0.0,14.0,-1.3,6.0,30.3,46.5,16.4
2021,6,24,0.0,12.4,-6.4,3.1,30.0,55.5,11.9
2021,6,25,0.0,12.9,-7.9,4.0,15.0,36.2,7.0
2021,6,26,0.0,14.7,-5.5,4.7,13.5,27.8,7.6
2021,6,27,0.0,14.4,-5.4,4.4,26.2,45.7,9.0
2021,6,28,0.0,12.1,-6.0,3.6,24.7,49.3,9.0
2021,6,29,0.0,11.1,-6.6,2.0,13.3,23.6,7.1
2021,6,30,0.0,12.2,-8.1,2.2,9.9,14.6,7.0
2021,7,1,0.0,14.0,-5.9,4.0,11.6,17.1,7.1
2021,7,2,0.0,16.0,-4.5,5.1,12.1,21.5,5.2
2021,7,3,0.0,15.7,-4.2,5.8,10.9,20.2,3.7
2021,7,4,0.0,15.2,-7.9,5.0,10.2,20.2,5.1
2021,7,5,0.0,15.2,-6.1,5.1,10.0,17.8,5.6
2021,7,6,0.0,15.3,-5.4,5.2,13.1,21.8,7.7
2021,7,7,0.0,14.4,-2.9,5.9,15.6,24.6,8.9
2021,7,8,0.0,15.2,-3.6,5.6,17.3,28.2,8.2
2021,7,9,0.0,14.5,-2.5,5.8,14.5,21.1,7.3
2021,7,10,0.0,15.6,-5.2,5.5,12.9,23.5,7.1
2021,7,11,0.0,15.8,-2.8,6.8,33.9,75.9,13.9
2021,7,12,0.0,16.2,-0.9,8.2,20.5,32.7,11.7
2021,7,13,0.0,16.5,-3.0,8.3,24.1,39.5,15.6
2021,7,14,0.0,15.7,0.2,8.5,35.2,55.5,21.5
2021,7,15,0.0,16.3,-1.9,6.9,34.8,54.7,20.6
2021,7,16,0.0,14.6,-2.9,5.9,27.5,51.8,10.6
2021,7,17,0.0,13.7,-5.4,4.8,19.2,39.4,7.3
